Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
72-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T72D04_3.jpg?v=1702570199,3,,,,,,,,,,,,,,,,,,,,,,,,,,
72-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T72D04_4.jpg?v=1702570199,4,,,,,,,,,,,,,,,,,,,,,,,,,,
72-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,"72"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Double Oval Ceramic Sink (8"" spread)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 72</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for 8"" Widespread Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Oval</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Double</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$1000 to $1500, 61"" to 72"", Countertop, Silkroad",false,Title,Default Title,,,,,T72D03,0.0,shopify,10,deny,manual,1002.00,,true,false,'600316841030,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T72D03_1.jpg?v=1702570143,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
72-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T72D03_2.jpg?v=1702570143,2,,,,,,,,,,,,,,,,,,,,,,,,,,
72-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T72D03_3.jpg?v=1702570143,3,,,,,,,,,,,,,,,,,,,,,,,,,,
72-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T72D03_4.jpg?v=1702570143,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-1-hole,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Double Oval Ceramic Sink (1-hole)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for Single Hole Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Oval</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Double</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60D06,0.0,shopify,10,deny,manual,870.00,,true,false,'600316841023,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D06_1.jpg?v=1702569978,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D06_2.jpg?v=1702569978,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D06_3.jpg?v=1702569978,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D06_4.jpg?v=1702569978,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-8-spread,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Double Rectangle Ceramic Sink (8""-spread)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for 8"" Widespread Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Rectangular</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Double</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60D05,0.0,shopify,10,deny,manual,902.00,,true,false,'600316841016,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D05_1.jpg?v=1702570033,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D05_2.jpg?v=1702570033,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D05_3.jpg?v=1702570033,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D05_4.jpg?v=1702570033,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-1-hole,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Double Rectangle Ceramic Sink (1-hole)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for Single Hole Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Rectangular</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Double</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60D04,0.0,shopify,10,deny,manual,902.00,,true,false,'600316841009,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D04_1.jpg?v=1702570015,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D04_2.jpg?v=1702570015,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D04_3.jpg?v=1702570015,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D04_4.jpg?v=1702570015,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Double Oval Ceramic Sink (8"" spread)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for 8"" Widespread Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Oval</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Double</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60D03,0.0,shopify,10,deny,manual,870.00,,true,false,'600316840996,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D03_1.jpg?v=1702569996,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D03_2.jpg?v=1702569996,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D03_3.jpg?v=1702569996,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-double-oval-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60D03_4.jpg?v=1702569996,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-oval-ceramic-sink-1-hole,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Single (Center) Oval Ceramic Sink (1-hole)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for Single Hole Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Oval</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Center</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60C06,0.0,shopify,10,deny,manual,804.00,,true,false,'600316840989,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C06_1.jpg?v=1702570053,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-oval-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C06_2.jpg?v=1702570053,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-oval-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C06_3.jpg?v=1702570053,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-oval-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C06_4.jpg?v=1702570053,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-8-spread,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Single (Center) Rectangle Ceramic Sink (8""-spread)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for 8"" Widespread Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Rectangular</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Center</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60C05,0.0,shopify,10,deny,manual,814.00,,true,false,'600316840972,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C05_1.jpg?v=1702570111,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C05_2.jpg?v=1702570111,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C05_3.jpg?v=1702570111,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-8-spread,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C05_4.jpg?v=1702570111,4,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-1-hole,"60"" x 22"" x 0.75"" Carrara White Marble Top - 4"" Backsplash, Single (Center) Rectangle Ceramic Sink (1-hole)","<p><strong>Specifications:</strong></p><ul>
<li>Overall Width (inch): 60</li>
<li>Overall Depth (inch): 22</li>
<li>Overall Height (inch): 8.25</li>
<li>Countertop Height (inch): 0.75</li>
<li>Counter Top Material: Carrara White Marble</li>
<li>Countertop Edge Profile: Flat</li>
<li>Faucet Spec: Pre-drilled for Single Hole Faucet</li>
<li>Backsplash Included?: Yes</li>
<li>Sink Shape: Rectangular</li>
<li>Number of Sink Predrilled: Single</li>
<li>Sink Bowl Location: Center</li>
<li>Sink Type: White Ceramic Undermount Sink</li>
<li>Sink Installation Type: Undermount</li>
<li>Sink Material: Ceramic</li>
<li>Use &amp; Care Note: Seal before use. Avoid direct sunlight and extreme changes in temperature. Clean with a soft, dry, lint-free cloth</li>
<li>Remark 1: Top and sink are preassembled</li>
<li>Remark 2: We highly recommend you to seal all stone surfaces before installation to avoid any dirt or stain from getting into the stone.</li>
</ul>",Silkroad Exclusive,,Countertop,"$500 to $1000, 43"" to 60"", Countertop, Silkroad",false,Title,Default Title,,,,,T60C04,0.0,shopify,10,deny,manual,814.00,,true,false,'600316840965,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C04_1.jpg?v=1702570107,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C04_2.jpg?v=1702570107,2,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C04_3.jpg?v=1702570107,3,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22-0-75-carrara-white-marble-top-4-backsplash-single-center-rectangle-ceramic-sink-1-hole,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/6471/4702/files/T60C04_4.jpg?v=1702570107,4,,,,,,,,,,,,,,,,,,,,,,,,,,
